company_name,location,job_title,experience_required,job_description,skills
Wipro,Kochi,Data Analyst,2-5 years,"Wipro is seeking a Data Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['SQL', 'Python', 'Excel', 'Power BI', 'Tableau', 'Statistics', 'Data Cleaning', 'Data Visualization', 'Communication']"
Wipro,Hyderabad,Data Scientist,2-5 years,"Wipro is seeking a Data Scientist to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'Machine Learning', 'Deep Learning', 'Pandas', 'NumPy', 'SQL', 'TensorFlow', 'Communication', 'APIs']"
Wipro,Bengaluru,Full Stack Developer,2-5 years,"Wipro is seeking a Full Stack Developer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['JavaScript', 'React', 'Node.js', 'HTML', 'CSS', 'MongoDB', 'REST APIs', 'Communication', 'Data Visualization']"
Wipro,Hyderabad,DevOps Engineer,2-5 years,"Wipro is seeking a DevOps Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Docker', 'Kubernetes', 'CI/CD', 'AWS', 'Linux', 'Shell Scripting', 'Git', 'Cloud', 'Communication']"
Wipro,Bengaluru,Cloud Engineer,2-5 years,"Wipro is seeking a Cloud Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['AWS', 'Azure', 'GCP', 'Terraform', 'Networking', 'Linux', 'Python', 'Microservices', 'APIs']"
Wipro,Kochi,AI/ML Engineer,2-5 years,"Wipro is seeking a AI/ML Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'TensorFlow', 'PyTorch', 'Machine Learning', 'Deep Learning', 'Data Preprocessing', 'Problem Solving', 'Agile']"
Wipro,Bengaluru,Cybersecurity Analyst,2-5 years,"Wipro is seeking a Cybersecurity Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Network Security', 'SIEM', 'Ethical Hacking', 'Firewalls', 'Risk Assessment', 'Communication', 'Agile']"
Wipro,Chennai,Business Analyst,2-5 years,"Wipro is seeking a Business Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Requirement Gathering', 'SQL', 'Excel', 'Stakeholder Management', 'Agile', 'Data Visualization', 'Microservices']"
Wipro,Chennai,QA Engineer,2-5 years,"Wipro is seeking a QA Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Selenium', 'Manual Testing', 'Automation Testing', 'Test Cases', 'JIRA', 'Problem Solving', 'Cloud']"
HCL Technologies,Hyderabad,Software Engineer,2-5 years,"HCL Technologies is seeking a Software Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'Java', 'C++', 'SQL', 'Git', 'REST APIs', 'Data Structures', 'OOP', 'Cloud', 'APIs']"
HCL Technologies,Hyderabad,Data Analyst,2-5 years,"HCL Technologies is seeking a Data Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['SQL', 'Python', 'Excel', 'Power BI', 'Tableau', 'Statistics', 'Data Cleaning', 'Agile', 'Communication']"
HCL Technologies,Bengaluru,Data Scientist,2-5 years,"HCL Technologies is seeking a Data Scientist to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'Machine Learning', 'Deep Learning', 'Pandas', 'NumPy', 'SQL', 'TensorFlow', 'Agile', 'Data Visualization']"
HCL Technologies,Kochi,Full Stack Developer,2-5 years,"HCL Technologies is seeking a Full Stack Developer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['JavaScript', 'React', 'Node.js', 'HTML', 'CSS', 'MongoDB', 'REST APIs', 'Cloud', 'Microservices']"
HCL Technologies,Hyderabad,DevOps Engineer,2-5 years,"HCL Technologies is seeking a DevOps Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Docker', 'Kubernetes', 'CI/CD', 'AWS', 'Linux', 'Shell Scripting', 'Git', 'Communication', 'Agile']"
HCL Technologies,Hyderabad,Cloud Engineer,2-5 years,"HCL Technologies is seeking a Cloud Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['AWS', 'Azure', 'GCP', 'Terraform', 'Networking', 'Linux', 'Python', 'Problem Solving', 'Cloud']"
HCL Technologies,Kochi,AI/ML Engineer,2-5 years,"HCL Technologies is seeking a AI/ML Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'TensorFlow', 'PyTorch', 'Machine Learning', 'Deep Learning', 'Data Preprocessing', 'Cloud', 'APIs']"
HCL Technologies,Kochi,Cybersecurity Analyst,2-5 years,"HCL Technologies is seeking a Cybersecurity Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Network Security', 'SIEM', 'Ethical Hacking', 'Firewalls', 'Risk Assessment', 'Problem Solving', 'Microservices']"
HCL Technologies,Kochi,Business Analyst,2-5 years,"HCL Technologies is seeking a Business Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Requirement Gathering', 'SQL', 'Excel', 'Stakeholder Management', 'Agile', 'Communication', 'APIs']"
HCL Technologies,Bengaluru,QA Engineer,2-5 years,"HCL Technologies is seeking a QA Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Selenium', 'Manual Testing', 'Automation Testing', 'Test Cases', 'JIRA', 'Cloud', 'Problem Solving']"
Cognizant,Kochi,Software Engineer,2-5 years,"Cognizant is seeking a Software Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'Java', 'C++', 'SQL', 'Git', 'REST APIs', 'Data Structures', 'OOP', 'Cloud', 'Communication']"
Cognizant,Bengaluru,Data Analyst,2-5 years,"Cognizant is seeking a Data Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['SQL', 'Python', 'Excel', 'Power BI', 'Tableau', 'Statistics', 'Data Cleaning', 'Data Visualization', 'Microservices']"
Cognizant,Hyderabad,Data Scientist,2-5 years,"Cognizant is seeking a Data Scientist to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'Machine Learning', 'Deep Learning', 'Pandas', 'NumPy', 'SQL', 'TensorFlow', 'Microservices', 'Data Visualization']"
Cognizant,Chennai,Full Stack Developer,2-5 years,"Cognizant is seeking a Full Stack Developer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['JavaScript', 'React', 'Node.js', 'HTML', 'CSS', 'MongoDB', 'REST APIs', 'Microservices', 'APIs']"
Cognizant,Chennai,DevOps Engineer,2-5 years,"Cognizant is seeking a DevOps Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Docker', 'Kubernetes', 'CI/CD', 'AWS', 'Linux', 'Shell Scripting', 'Git', 'Data Visualization', 'Agile']"
Cognizant,Bengaluru,Cloud Engineer,2-5 years,"Cognizant is seeking a Cloud Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['AWS', 'Azure', 'GCP', 'Terraform', 'Networking', 'Linux', 'Python', 'APIs', 'Problem Solving']"
Cognizant,Bengaluru,AI/ML Engineer,2-5 years,"Cognizant is seeking a AI/ML Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'TensorFlow', 'PyTorch', 'Machine Learning', 'Deep Learning', 'Data Preprocessing', 'Agile', 'Microservices']"
Cognizant,Chennai,Cybersecurity Analyst,2-5 years,"Cognizant is seeking a Cybersecurity Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Network Security', 'SIEM', 'Ethical Hacking', 'Firewalls', 'Risk Assessment', 'Cloud', 'Data Visualization']"
Cognizant,Hyderabad,Business Analyst,2-5 years,"Cognizant is seeking a Business Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Requirement Gathering', 'SQL', 'Excel', 'Stakeholder Management', 'Agile', 'Agile', 'Communication']"
Cognizant,Bengaluru,QA Engineer,2-5 years,"Cognizant is seeking a QA Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Selenium', 'Manual Testing', 'Automation Testing', 'Test Cases', 'JIRA', 'APIs', 'Cloud']"
Zoho Corporation,Bengaluru,Software Engineer,2-5 years,"Zoho Corporation is seeking a Software Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'Java', 'C++', 'SQL', 'Git', 'REST APIs', 'Data Structures', 'OOP', 'Data Visualization', 'Problem Solving']"
Zoho Corporation,Chennai,Data Analyst,2-5 years,"Zoho Corporation is seeking a Data Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['SQL', 'Python', 'Excel', 'Power BI', 'Tableau', 'Statistics', 'Data Cleaning', 'Problem Solving', 'APIs']"
Zoho Corporation,Bengaluru,Data Scientist,2-5 years,"Zoho Corporation is seeking a Data Scientist to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'Machine Learning', 'Deep Learning', 'Pandas', 'NumPy', 'SQL', 'TensorFlow', 'APIs', 'Microservices']"
Zoho Corporation,Chennai,Full Stack Developer,2-5 years,"Zoho Corporation is seeking a Full Stack Developer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['JavaScript', 'React', 'Node.js', 'HTML', 'CSS', 'MongoDB', 'REST APIs', 'Problem Solving', 'Microservices']"
Zoho Corporation,Chennai,DevOps Engineer,2-5 years,"Zoho Corporation is seeking a DevOps Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Docker', 'Kubernetes', 'CI/CD', 'AWS', 'Linux', 'Shell Scripting', 'Git', 'Problem Solving', 'Data Visualization']"
Zoho Corporation,Kochi,Cloud Engineer,2-5 years,"Zoho Corporation is seeking a Cloud Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['AWS', 'Azure', 'GCP', 'Terraform', 'Networking', 'Linux', 'Python', 'Cloud', 'Communication']"
Zoho Corporation,Bengaluru,AI/ML Engineer,2-5 years,"Zoho Corporation is seeking a AI/ML Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'TensorFlow', 'PyTorch', 'Machine Learning', 'Deep Learning', 'Data Preprocessing', 'Communication', 'Problem Solving']"
Zoho Corporation,Kochi,Cybersecurity Analyst,2-5 years,"Zoho Corporation is seeking a Cybersecurity Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Network Security', 'SIEM', 'Ethical Hacking', 'Firewalls', 'Risk Assessment', 'Microservices', 'Cloud']"
Zoho Corporation,Hyderabad,Business Analyst,2-5 years,"Zoho Corporation is seeking a Business Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Requirement Gathering', 'SQL', 'Excel', 'Stakeholder Management', 'Agile', 'Data Visualization', 'Cloud']"
Zoho Corporation,Kochi,QA Engineer,2-5 years,"Zoho Corporation is seeking a QA Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Selenium', 'Manual Testing', 'Automation Testing', 'Test Cases', 'JIRA', 'Communication', 'Problem Solving']"
Freshworks,Chennai,Software Engineer,2-5 years,"Freshworks is seeking a Software Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'Java', 'C++', 'SQL', 'Git', 'REST APIs', 'Data Structures', 'OOP', 'Data Visualization', 'Agile']"
Freshworks,Chennai,Data Analyst,2-5 years,"Freshworks is seeking a Data Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['SQL', 'Python', 'Excel', 'Power BI', 'Tableau', 'Statistics', 'Data Cleaning', 'Data Visualization', 'Microservices']"
Freshworks,Kochi,Data Scientist,2-5 years,"Freshworks is seeking a Data Scientist to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'Machine Learning', 'Deep Learning', 'Pandas', 'NumPy', 'SQL', 'TensorFlow', 'Agile', 'Problem Solving']"
Freshworks,Bengaluru,Full Stack Developer,2-5 years,"Freshworks is seeking a Full Stack Developer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['JavaScript', 'React', 'Node.js', 'HTML', 'CSS', 'MongoDB', 'REST APIs', 'Communication', 'Cloud']"
Freshworks,Kochi,DevOps Engineer,2-5 years,"Freshworks is seeking a DevOps Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Docker', 'Kubernetes', 'CI/CD', 'AWS', 'Linux', 'Shell Scripting', 'Git', 'Data Visualization', 'Problem Solving']"
Freshworks,Hyderabad,Cloud Engineer,2-5 years,"Freshworks is seeking a Cloud Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['AWS', 'Azure', 'GCP', 'Terraform', 'Networking', 'Linux', 'Python', 'Problem Solving', 'Microservices']"
Freshworks,Bengaluru,AI/ML Engineer,2-5 years,"Freshworks is seeking a AI/ML Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'TensorFlow', 'PyTorch', 'Machine Learning', 'Deep Learning', 'Data Preprocessing', 'Communication', 'Microservices']"
Freshworks,Chennai,Cybersecurity Analyst,2-5 years,"Freshworks is seeking a Cybersecurity Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Network Security', 'SIEM', 'Ethical Hacking', 'Firewalls', 'Risk Assessment', 'Communication', 'Data Visualization']"
Freshworks,Bengaluru,Business Analyst,2-5 years,"Freshworks is seeking a Business Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Requirement Gathering', 'SQL', 'Excel', 'Stakeholder Management', 'Agile', 'Cloud', 'Communication']"
Freshworks,Hyderabad,QA Engineer,2-5 years,"Freshworks is seeking a QA Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Selenium', 'Manual Testing', 'Automation Testing', 'Test Cases', 'JIRA', 'Microservices', 'Data Visualization']"
Accenture,Kochi,Software Engineer,2-5 years,"Accenture is seeking a Software Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'Java', 'C++', 'SQL', 'Git', 'REST APIs', 'Data Structures', 'OOP', 'Data Visualization', 'Agile']"
Accenture,Hyderabad,Data Analyst,2-5 years,"Accenture is seeking a Data Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['SQL', 'Python', 'Excel', 'Power BI', 'Tableau', 'Statistics', 'Data Cleaning', 'Cloud', 'APIs']"
Accenture,Bengaluru,Data Scientist,2-5 years,"Accenture is seeking a Data Scientist to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'Machine Learning', 'Deep Learning', 'Pandas', 'NumPy', 'SQL', 'TensorFlow', 'Microservices', 'Agile']"
Accenture,Chennai,Full Stack Developer,2-5 years,"Accenture is seeking a Full Stack Developer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['JavaScript', 'React', 'Node.js', 'HTML', 'CSS', 'MongoDB', 'REST APIs', 'Cloud', 'APIs']"
Accenture,Bengaluru,DevOps Engineer,2-5 years,"Accenture is seeking a DevOps Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Docker', 'Kubernetes', 'CI/CD', 'AWS', 'Linux', 'Shell Scripting', 'Git', 'Problem Solving', 'Data Visualization']"
Accenture,Hyderabad,Cloud Engineer,2-5 years,"Accenture is seeking a Cloud Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['AWS', 'Azure', 'GCP', 'Terraform', 'Networking', 'Linux', 'Python', 'Communication', 'Microservices']"
Accenture,Hyderabad,AI/ML Engineer,2-5 years,"Accenture is seeking a AI/ML Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'TensorFlow', 'PyTorch', 'Machine Learning', 'Deep Learning', 'Data Preprocessing', 'Communication', 'Microservices']"
Accenture,Bengaluru,Cybersecurity Analyst,2-5 years,"Accenture is seeking a Cybersecurity Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Network Security', 'SIEM', 'Ethical Hacking', 'Firewalls', 'Risk Assessment', 'Agile', 'Problem Solving']"
Accenture,Bengaluru,Business Analyst,2-5 years,"Accenture is seeking a Business Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Requirement Gathering', 'SQL', 'Excel', 'Stakeholder Management', 'Agile', 'Problem Solving', 'Microservices']"
Accenture,Chennai,QA Engineer,2-5 years,"Accenture is seeking a QA Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Selenium', 'Manual Testing', 'Automation Testing', 'Test Cases', 'JIRA', 'APIs', 'Agile']"
Capgemini,Chennai,Software Engineer,2-5 years,"Capgemini is seeking a Software Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'Java', 'C++', 'SQL', 'Git', 'REST APIs', 'Data Structures', 'OOP', 'APIs', 'Cloud']"
Capgemini,Chennai,Data Analyst,2-5 years,"Capgemini is seeking a Data Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['SQL', 'Python', 'Excel', 'Power BI', 'Tableau', 'Statistics', 'Data Cleaning', 'Agile', 'Problem Solving']"
Capgemini,Chennai,Data Scientist,2-5 years,"Capgemini is seeking a Data Scientist to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'Machine Learning', 'Deep Learning', 'Pandas', 'NumPy', 'SQL', 'TensorFlow', 'Cloud', 'Data Visualization']"
Capgemini,Hyderabad,Full Stack Developer,2-5 years,"Capgemini is seeking a Full Stack Developer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['JavaScript', 'React', 'Node.js', 'HTML', 'CSS', 'MongoDB', 'REST APIs', 'APIs', 'Problem Solving']"
